epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7029,0.75966,1.53312,0.91099,0.99335,0.99659,0.99439,0.82239,0.67665,0.80332,0.87684,0.000662222,0.000662222,0.000662222
2,104.563,0.7163,0.76845,0.88912,0.99336,0.99709,0.995,0.84182,0.63553,0.48394,0.87016,0.00130258,0.00130258,0.00130258
3,169.134,0.69942,0.57202,0.89255,0.99629,0.995,0.99498,0.81221,0.63957,0.42826,0.88036,0.00191653,0.00191653,0.00191653
4,237.963,0.68473,0.48743,0.8914,0.99653,0.99833,0.9948,0.8441,0.62081,0.36641,0.86331,0.0018812,0.0018812,0.0018812
5,281.336,0.66218,0.44718,0.87988,0.98797,0.99667,0.99488,0.84889,0.62573,0.37895,0.85302,0.0018416,0.0018416,0.0018416
6,322.491,0.66339,0.42564,0.87875,0.9983,0.99667,0.995,0.85291,0.6121,0.35327,0.84824,0.001802,0.001802,0.001802
7,363.445,0.6381,0.40344,0.87581,0.99667,0.99735,0.99495,0.85743,0.61126,0.3364,0.84547,0.0017624,0.0017624,0.0017624
8,404.709,0.6416,0.39451,0.87298,0.99982,0.99667,0.995,0.83823,0.67806,0.35807,0.86773,0.0017228,0.0017228,0.0017228
9,456.71,0.6402,0.38955,0.87561,0.99833,0.99771,0.99497,0.85978,0.59209,0.31423,0.8439,0.0016832,0.0016832,0.0016832
10,526.13,0.61664,0.37063,0.86696,0.99937,0.99833,0.995,0.87063,0.56129,0.30866,0.83771,0.0016436,0.0016436,0.0016436
11,598.118,0.60566,0.35936,0.86617,0.9963,0.99833,0.995,0.88354,0.54168,0.30032,0.83618,0.001604,0.001604,0.001604
12,662.868,0.59868,0.35682,0.86376,0.99961,0.99833,0.995,0.87383,0.54105,0.28987,0.83424,0.0015644,0.0015644,0.0015644
13,725.599,0.59632,0.35219,0.85891,0.99994,0.99833,0.995,0.88183,0.54589,0.28893,0.83339,0.0015248,0.0015248,0.0015248
14,792.657,0.59567,0.34506,0.85972,0.99956,0.99833,0.995,0.88306,0.55741,0.28194,0.83478,0.0014852,0.0014852,0.0014852
15,861.834,0.57437,0.33137,0.85681,1,0.9982,0.995,0.88894,0.52731,0.2805,0.8287,0.0014456,0.0014456,0.0014456
16,926.446,0.58673,0.33351,0.85981,0.9962,0.99667,0.995,0.89102,0.52175,0.28279,0.82803,0.001406,0.001406,0.001406
17,997.478,0.57847,0.33015,0.85679,0.99897,0.99833,0.995,0.8762,0.56359,0.28158,0.83773,0.0013664,0.0013664,0.0013664
18,1068.79,0.5777,0.32529,0.8591,0.99749,0.99833,0.99497,0.89539,0.51878,0.26492,0.82908,0.0013268,0.0013268,0.0013268
19,1119.87,0.56553,0.32318,0.85208,1,0.99809,0.995,0.89473,0.51249,0.26132,0.82344,0.0012872,0.0012872,0.0012872
20,1160.83,0.56122,0.32141,0.85186,0.99987,0.99833,0.995,0.88882,0.51738,0.26634,0.82438,0.0012476,0.0012476,0.0012476
21,1202.05,0.57759,0.32313,0.85688,1,0.99989,0.995,0.88574,0.54034,0.26303,0.82987,0.001208,0.001208,0.001208
22,1243.18,0.56612,0.32079,0.85221,0.99655,0.99833,0.995,0.88741,0.51865,0.26679,0.82899,0.0011684,0.0011684,0.0011684
23,1289.46,0.55765,0.31489,0.8496,0.99758,0.99833,0.995,0.88436,0.51356,0.25258,0.82565,0.0011288,0.0011288,0.0011288
24,1330.98,0.55198,0.3089,0.85109,0.99926,0.99833,0.995,0.88444,0.53229,0.27332,0.82839,0.0010892,0.0010892,0.0010892
25,1372,0.55027,0.30495,0.84994,0.99832,0.99833,0.995,0.89135,0.50613,0.25069,0.82371,0.0010496,0.0010496,0.0010496
26,1413.31,0.54233,0.2926,0.84521,0.99957,0.99833,0.995,0.89496,0.49977,0.24252,0.82027,0.00101,0.00101,0.00101
27,1455.3,0.53956,0.29352,0.8462,0.99981,0.99833,0.995,0.89181,0.51326,0.2544,0.82344,0.0009704,0.0009704,0.0009704
