epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.398,0.93523,1.47545,0.97234,0.98978,0.9875,0.99459,0.75396,0.85748,0.69757,0.94822,0.000553814,0.000553814,0.000553814
2,206.125,0.91913,0.74583,0.9797,0.99746,0.99775,0.99498,0.76645,0.83794,0.4677,0.95087,0.0010985,0.0010985,0.0010985
3,289.989,0.91694,0.57127,0.9752,0.98597,0.99381,0.99455,0.77978,0.8301,0.43849,0.94415,0.00163218,0.00163218,0.00163218
4,377.826,0.88396,0.51503,0.96296,0.98968,0.9925,0.9941,0.77552,0.84739,0.42857,0.94134,0.00161749,0.00161749,0.00161749
5,462.945,0.8666,0.48268,0.96525,0.99483,0.99678,0.99492,0.78868,0.80905,0.38018,0.93248,0.00160099,0.00160099,0.00160099
6,547.943,0.86393,0.46422,0.95898,0.99492,0.99812,0.99373,0.7954,0.80424,0.36865,0.92538,0.00158448,0.00158448,0.00158448
7,633.08,0.85014,0.44685,0.95657,0.99661,0.9959,0.99487,0.79927,0.79658,0.36857,0.92417,0.00156798,0.00156798,0.00156798
8,717.28,0.84307,0.43864,0.95399,0.9973,0.99982,0.995,0.80049,0.79356,0.35843,0.92459,0.00155148,0.00155148,0.00155148
9,801.882,0.83439,0.42467,0.94721,0.99659,0.99747,0.99426,0.80541,0.77544,0.358,0.9183,0.00153497,0.00153497,0.00153497
10,885.706,0.82246,0.41841,0.94811,0.99706,0.99817,0.99481,0.80345,0.78596,0.36406,0.919,0.00151847,0.00151847,0.00151847
11,970.514,0.82632,0.4099,0.94838,0.99743,0.99607,0.99469,0.8087,0.77752,0.33354,0.91397,0.00150197,0.00150197,0.00150197
12,1054.99,0.80763,0.40741,0.93998,0.9957,1,0.99416,0.81166,0.76583,0.33682,0.91474,0.00148546,0.00148546,0.00148546
13,1139.23,0.80917,0.39949,0.94227,0.99844,1,0.995,0.81032,0.77824,0.33424,0.9131,0.00146896,0.00146896,0.00146896
14,1222.53,0.7972,0.39266,0.93348,0.99887,0.99664,0.99453,0.81661,0.75264,0.32593,0.90582,0.00145246,0.00145246,0.00145246
15,1307.33,0.8007,0.38835,0.93632,0.99816,0.99916,0.995,0.8223,0.74926,0.31096,0.91076,0.00143595,0.00143595,0.00143595
16,1437.2,0.79496,0.38442,0.93655,0.99799,0.99833,0.99498,0.8151,0.75757,0.31026,0.90945,0.00141945,0.00141945,0.00141945
17,1548.83,0.79783,0.38298,0.93318,0.99945,0.99833,0.995,0.81734,0.75644,0.31301,0.91395,0.00140295,0.00140295,0.00140295
18,1630.43,0.789,0.37821,0.93204,0.99614,0.99628,0.99409,0.81636,0.75359,0.31176,0.90681,0.00138644,0.00138644,0.00138644
19,1713.28,0.79028,0.37618,0.93503,0.9923,0.99744,0.99438,0.80885,0.75734,0.31385,0.90666,0.00136994,0.00136994,0.00136994
